y12_x23	| 50.292	| cm | - |  - | - | - | - | - | - 
y12_x24	| 61.468	| cm | - |  - | - | - | - | - | - 
y12_x25	| 72.644	| cm | - |  - | - | - | - | - | - 
y12_x26	| 83.82	| cm | - |  - | - | - | - | - | - 
y12_x27	| 94.996	| cm | - |  - | - | - | - | - | - 
y12_x28	| 106.172	| cm | - |  - | - | - | - | - | - 
y12_x29	| 117.348	| cm | - |  - | - | - | - | - | - 
y12_x30	| 128.524	| cm | - |  - | - | - | - | - | - 
y12_x31	| 139.7	| cm | - |  - | - | - | - | - | - 
y12_x32	| 150.876	| cm | - |  - | - | - | - | - | - 
y12_x33	| 162.052	| cm | - |  - | - | - | - | - | - 
y12_x34	| 173.228	| cm | - |  - | - | - | - | - | - 
y12_x35	| 184.404	| cm | - |  - | - | - | - | - | - 
y12_x36	| 195.58	| cm | - |  - | - | - | - | - | - 
y12_x37	| 206.756	| cm | - |  - | - | - | - | - | - 
num_y13	| 39	| - | - | - |  - | - | - | - | - 
y13	| -130.662	| cm | - |  - | - | - | - | - | - 
y13_x0	| -212.344	| cm | - |  - | - | - | - | - | - 
y13_x1	| -201.168	| cm | - |  - | - | - | - | - | - 
y13_x2	| -189.992	| cm | - |  - | - | - | - | - | - 
y13_x3	| -178.816	| cm | - |  - | - | - | - | - | - 
y13_x4	| -167.64	| cm | - |  - | - | - | - | - | - 
y13_x5	| -156.464	| cm | - |  - | - | - | - | - | - 
y13_x6	| -145.288	| cm | - |  - | - | - | - | - | - 
y13_x7	| -134.112	| cm | - |  - | - | - | - | - | - 
y13_x8	| -122.936	| cm | - |  - | - | - | - | - | - 
y13_x9	| -111.76	| cm | - |  - | - | - | - | - | - 
y13_x10	| -100.584	| cm | - |  - | - | - | - | - | - 
y13_x11	| -89.408	| cm | - |  - | - | - | - | - | - 
y13_x12	| -78.232	| cm | - |  - | - | - | - | - | - 
y13_x13	| -67.056	| cm | - |  - | - | - | - | - | - 
y13_x14	| -55.88	| cm | - |  - | - | - | - | - | - 
y13_x15	| -44.704	| cm | - |  - | - | - | - | - | - 
y13_x16	| -33.528	| cm | - |  - | - | - | - | - | - 
y13_x17	| -22.352	| cm | - |  - | - | - | - | - | - 
y13_x18	| -11.176	| cm | - |  - | - | - | - | - | - 
y13_x19	| 0	| cm | - |  - | - | - | - | - | - 
y13_x20	| 11.176	| cm | - |  - | - | - | - | - | - 
y13_x21	| 22.352	| cm | - |  - | - | - | - | - | - 
y13_x22	| 33.528	| cm | - |  - | - | - | - | - | - 
y13_x23	| 44.704	| cm | - |  - | - | - | - | - | - 
y13_x24	| 55.88	| cm | - |  - | - | - | - | - | - 
y13_x25	| 67.056	| cm | - |  - | - | - | - | - | - 
y13_x26	| 78.232	| cm | - |  - | - | - | - | - | - 
y13_x27	| 89.408	| cm | - |  - | - | - | - | - | - 
y13_x28	| 100.584	| cm | - |  - | - | - | - | - | - 
y13_x29	| 111.76	| cm | - |  - | - | - | - | - | - 
y13_x30	| 122.936	| cm | - |  - | - | - | - | - | - 
y13_x31	| 134.112	| cm | - |  - | - | - | - | - | - 
y13_x32	| 145.288	| cm | - |  - | - | - | - | - | - 
y13_x33	| 156.464	| cm | - |  - | - | - | - | - | - 
y13_x34	| 167.64	| cm | - |  - | - | - | - | - | - 
y13_x35	| 178.816	| cm | - |  - | - | - | - | - | - 
y13_x36	| 189.992	| cm | - |  - | - | - | - | - | - 
y13_x37	| 201.168	| cm | - |  - | - | - | - | - | - 
y13_x38	| 212.344	| cm | - |  - | - | - | - | - | - 
num_y14	| 40	| - | - | - |  - | - | - | - | - 
y14	| -120.984	| cm | - |  - | - | - | - | - | - 
y14_x0	| -217.932	| cm | - |  - | - | - | - | - | - 
y14_x1	| -206.756	| cm | - |  - | - | - | - | - | - 
y14_x2	| -195.58	| cm | - |  - | - | - | - | - | - 
y14_x3	| -184.404	| cm | - |  - | - | - | - | - | - 
