idymax	| 54	| - | - | - |  - | - | - | - | - 
x_idy10_idx32_id250_sector26_status1	| 145.288	| cm | - |  - | - | - | - | - | - 
x_idy10_idx33_id251_sector27_status1	| 156.464	| cm | - |  - | - | - | - | - | - 
x_idy10_idx34_id252_sector27_status1	| 167.64	| cm | - |  - | - | - | - | - | - 
x_idy10_idx35_id253_sector27_status1	| 178.816	| cm | - |  - | - | - | - | - | - 
x_idy10_idx36_id254_sector27_status1	| 189.992	| cm | - |  - | - | - | - | - | - 
x_idy10_idx37_id255_sector27_status1	| 201.168	| cm | - |  - | - | - | - | - | - 
idxmax_idy11	| 38	| - | - | - |  - | - | - | - | - 
y_idy11	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy11_idx1_id256_sector19_status1	| -206.756	| cm | - |  - | - | - | - | - | - 
x_idy11_idx2_id257_sector19_status1	| -195.58	| cm | - |  - | - | - | - | - | - 
x_idy11_idx3_id258_sector19_status1	| -184.404	| cm | - |  - | - | - | - | - | - 
x_idy11_idx4_id259_sector19_status1	| -173.228	| cm | - |  - | - | - | - | - | - 
x_idy11_idx5_id260_sector19_status1	| -162.052	| cm | - |  - | - | - | - | - | - 
x_idy11_idx6_id261_sector19_status1	| -150.876	| cm | - |  - | - | - | - | - | - 
x_idy11_idx7_id262_sector20_status1	| -139.7	| cm | - |  - | - | - | - | - | - 
x_idy11_idx8_id263_sector20_status1	| -128.524	| cm | - |  - | - | - | - | - | - 
x_idy11_idx9_id264_sector20_status1	| -117.348	| cm | - |  - | - | - | - | - | - 
x_idy11_idx10_id265_sector20_status1	| -106.172	| cm | - |  - | - | - | - | - | - 
x_idy11_idx11_id266_sector20_status1	| -94.996	| cm | - |  - | - | - | - | - | - 
x_idy11_idx12_id267_sector21_status1	| -83.82	| cm | - |  - | - | - | - | - | - 
x_idy11_idx13_id268_sector21_status1	| -72.644	| cm | - |  - | - | - | - | - | - 
x_idy11_idx14_id269_sector21_status1	| -61.468	| cm | - |  - | - | - | - | - | - 
x_idy11_idx15_id270_sector22_status1	| -50.292	| cm | - |  - | - | - | - | - | - 
x_idy11_idx16_id271_sector22_status1	| -39.116	| cm | - |  - | - | - | - | - | - 
x_idy11_idx17_id272_sector22_status1	| -27.94	| cm | - |  - | - | - | - | - | - 
x_idy11_idx18_id273_sector23_status1	| -16.764	| cm | - |  - | - | - | - | - | - 
x_idy11_idx19_id274_sector23_status1	| -5.588	| cm | - |  - | - | - | - | - | - 
x_idy11_idx20_id275_sector23_status1	| 5.588	| cm | - |  - | - | - | - | - | - 
x_idy11_idx21_id276_sector23_status1	| 16.764	| cm | - |  - | - | - | - | - | - 
x_idy11_idx22_id277_sector24_status1	| 27.94	| cm | - |  - | - | - | - | - | - 
x_idy11_idx23_id278_sector24_status1	| 39.116	| cm | - |  - | - | - | - | - | - 
x_idy11_idx24_id279_sector24_status1	| 50.292	| cm | - |  - | - | - | - | - | - 
x_idy11_idx25_id280_sector25_status1	| 61.468	| cm | - |  - | - | - | - | - | - 
x_idy11_idx26_id281_sector25_status1	| 72.644	| cm | - |  - | - | - | - | - | - 
x_idy11_idx27_id282_sector25_status1	| 83.82	| cm | - |  - | - | - | - | - | - 
x_idy11_idx28_id283_sector26_status1	| 94.996	| cm | - |  - | - | - | - | - | - 
x_idy11_idx29_id284_sector26_status1	| 106.172	| cm | - |  - | - | - | - | - | - 
x_idy11_idx30_id285_sector26_status1	| 117.348	| cm | - |  - | - | - | - | - | - 
